hhid,psuid,loc,pline,fline,v001,v002,v003,v004,v005,v006,v007a,v007b,v007c,v008
143,8,urban,138.7,88.768,337.6027366818205,1,0,0,0,0,1,50,4,0
144,8,urban,138.7,88.768,220.1762630412011,5,0,0,0,3,0,55,4,0
145,9,urban,138.7,88.768,174.3027777592001,6,4,0,0,1,0,48,2,0
146,9,urban,138.7,88.768,290.4267516445341,5,2,0,0,2,0,38,6,0
147,9,urban,138.7,88.768,105.2613233294151,6,4,0,0,0,1,36,3,0
148,9,urban,138.7,88.768,834.1851919002803,5,3,0,0,2,0,35,6,0
149,9,urban,138.7,88.768,237.8472161946919,5,3,0,0,1,0,37,6,0
150,9,urban,138.7,88.768,453.3087592416635,7,1,0,0,1,0,58,3,0
151,9,urban,138.7,88.768,296.1312591238479,4,2,1,0,1,0,65,6,0
152,9,urban,138.7,88.768,206.839994407379,6,4,0,0,1,0,39,6,0
153,9,urban,138.7,88.768,217.3683234523188,5,3,0,0,1,0,35,6,0
154,9,urban,138.7,88.768,210.4122092200099,6,2,0,1,3,1,55,6,0
155,9,urban,138.7,88.768,276.6394649363146,4,2,0,0,1,0,34,4,0
156,9,urban,138.7,88.768,227.6446023644089,1,0,0,0,0,0,59,4,0
157,9,urban,138.7,88.768,253.1657670450566,2,1,0,2,1,1,58,4,0
158,9,urban,138.7,88.768,178.9140674389875,5,3,0,0,1,0,35,3,0
159,9,urban,138.7,88.768,569.1548383120853,1,0,1,0,0,1,85,1,0
160,9,urban,138.7,88.768,198.5945606917747,5,2,0,0,1,0,43,4,0
161,9,urban,138.7,88.768,163.5852305629518,1,0,0,0,0,1,54,3,0
162,9,urban,138.7,88.768,446.1791090603356,5,0,1,0,1,0,49,0,0
163,10,urban,138.7,88.768,59.3808653138303,7,4,0,0,1,1,49,2,0
164,10,urban,138.7,88.768,151.9551236347935,7,1,0,2,1,0,62,6,5
165,10,urban,138.7,88.768,113.2719796887044,5,3,0,0,1,0,33,3,0
166,10,urban,138.7,88.768,72.79139227066456,15,6,1,0,3,1,69,2,8
167,10,urban,138.7,88.768,74.98062642061923,8,2,0,2,3,0,57,4,0
168,10,urban,138.7,88.768,158.1226397539476,4,2,0,0,1,1,39,3,0
169,10,urban,138.7,88.768,162.9066142105902,7,1,0,0,0,0,50,3,0
170,10,urban,138.7,88.768,146.4716404181339,2,1,1,0,0,1,70,0,0
171,10,urban,138.7,88.768,58.40666008278895,12,6,0,0,2,0,41,3,0
172,10,urban,138.7,88.768,115.0877620518192,7,2,0,0,3,0,52,1,0
173,10,urban,138.7,88.768,227.0411986796067,5,1,0,0,2,0,41,6,0
174,10,urban,138.7,88.768,196.4783145548606,10,2,0,0,5,0,58,5,0
175,10,urban,138.7,88.768,105.7072257731314,5,1,0,2,0,0,56,3,9
176,10,urban,138.7,88.768,215.2005523822657,8,1,1,4,3,0,66,4,0
177,10,urban,138.7,88.768,247.2763466660003,4,2,0,0,1,1,41,3,0
178,10,urban,138.7,88.768,233.4626855252108,4,0,1,1,1,0,67,6,0
179,10,urban,138.7,88.768,124.7359274932628,6,2,0,0,2,0,60,5,0
180,10,urban,138.7,88.768,135.5643334155639,5,0,1,0,2,0,68,1,0
181,11,urban,138.7,88.768,148.2303942462783,5,1,0,0,1,1,42,2,0
182,11,urban,138.7,88.768,101.6478825518839,6,0,0,0,1,0,48,4,0
183,11,urban,138.7,88.768,156.879090119275,6,3,0,0,1,1,54,2,0
184,11,urban,138.7,88.768,96.24024715776952,8,4,0,0,2,1,43,3,5
185,11,urban,138.7,88.768,90.26758175723464,7,1,0,0,1,0,49,3,4
186,11,urban,138.7,88.768,108.0391107892244,6,1,2,2,0,0,70,1,5
187,11,urban,138.7,88.768,192.4459638084419,2,0,0,0,1,0,28,3,0
188,11,urban,138.7,88.768,89.44326665457268,8,1,0,0,2,0,55,5,0
189,11,urban,138.7,88.768,189.7580008050028,6,0,0,0,1,0,48,3,0
190,11,urban,138.7,88.768,247.6630281615972,6,1,0,0,2,0,48,3,6
191,11,urban,138.7,88.768,81.08139215708425,6,1,1,0,1,0,81,1,0
192,11,urban,138.7,88.768,154.9735929204475,4,0,0,0,1,0,63,3,4
193,11,urban,138.7,88.768,76.54578371943117,6,0,0,0,3,1,61,1,0
194,11,urban,138.7,88.768,188.4470602590938,4,2,0,0,1,0,40,2,0
195,11,urban,138.7,88.768,43.80454368291397,14,6,0,1,4,0,63,2,1
196,11,urban,138.7,88.768,113.0177629358014,5,3,0,0,0,0,41,6,0
197,11,urban,138.7,88.768,256.2002935615826,15,6,0,1,5,1,61,0,0
198,11,urban,138.7,88.768,79.45165002092406,16,7,0,0,2,1,63,1,0
199,12,urban,138.7,88.768,66.23068619805551,6,3,1,0,0,1,71,0,0
200,12,urban,138.7,88.768,167.9157623941852,6,4,0,0,1,0,39,6,0
201,12,urban,138.7,88.768,116.1353486406131,3,1,0,1,1,0,52,2,5
202,12,urban,138.7,88.768,97.88087254743741,9,6,0,0,1,0,37,0,0
203,12,urban,138.7,88.768,165.2499169704553,5,1,0,0,2,0,45,5,0
204,12,urban,138.7,88.768,105.6121954102446,6,4,0,0,0,1,44,2,0
205,12,urban,138.7,88.768,319.6080543820549,4,2,0,0,1,0,30,6,0
206,12,urban,138.7,88.768,168.9029286559016,2,0,2,0,0,0,70,6,0
207,12,urban,138.7,88.768,115.5174750290273,7,2,0,0,0,0,41,3,0
208,12,urban,138.7,88.768,124.0877469940288,7,2,0,0,2,0,48,4,0
209,12,urban,138.7,88.768,64.93089471783665,3,0,1,0,0,1,66,4,0
210,12,urban,138.7,88.768,104.0720896557973,6,4,0,0,1,0,45,6,0
211,12,urban,138.7,88.768,170.5669831325563,5,1,0,0,3,0,51,6,0
212,12,urban,138.7,88.768,72.34125116152678,7,3,0,0,1,0,44,3,0
213,12,urban,138.7,88.768,71.70970720912946,7,3,0,0,2,0,42,3,0
214,12,urban,138.7,88.768,170.3161968614042,3,0,0,0,1,1,46,3,0
215,12,urban,138.7,88.768,117.8321474524758,7,0,0,2,3,0,54,6,0
216,12,urban,138.7,88.768,103.7467957283729,6,3,0,0,1,0,39,6,0
217,13,urban,138.7,88.768,130.2030320940444,9,4,1,0,4,1,73,2,0
218,13,urban,138.7,88.768,84.59825928482569,7,2,1,0,3,0,66,1,0
219,13,urban,138.7,88.768,143.599514710177,8,2,1,0,1,0,65,1,0
220,13,urban,138.7,88.768,80.44118602332364,15,7,0,0,3,0,49,4,0
221,13,urban,138.7,88.768,124.5745142993031,5,1,0,2,0,0,52,4,0
222,13,urban,138.7,88.768,179.1835570300323,7,3,1,0,0,1,69,0,0
223,13,urban,138.7,88.768,101.7964765771958,5,0,0,1,3,0,57,4,0
224,13,urban,138.7,88.768,144.8888793313901,4,2,0,1,0,0,35,3,0
225,13,urban,138.7,88.768,419.3655609375656,6,2,0,0,1,0,45,4,0
226,13,urban,138.7,88.768,167.5107248120269,6,3,0,0,1,0,44,3,0
227,13,urban,138.7,88.768,129.1885724380473,15,7,1,0,4,0,66,0,0
228,13,urban,138.7,88.768,119.4222918129126,6,3,1,2,2,0,32,3,0
229,13,urban,138.7,88.768,128.0887720255123,4,1,0,0,0,1,58,2,0
230,13,urban,138.7,88.768,59.37938221081772,6,2,2,0,2,0,68,1,0
231,13,urban,138.7,88.768,133.4771560976961,6,1,1,0,1,1,70,1,0
232,13,urban,138.7,88.768,76.89186844534531,11,5,0,0,3,0,58,6,0
